nsamples,bounces,runtime
1,26,0.479466
1,26,0.457317
1,26,0.455286
1,26,0.461719
1,26,0.465603
2,26,0.882930
2,26,0.888840
2,26,0.873200
2,26,0.873485
2,26,0.880650
3,26,1.274308
3,26,1.273132
3,26,1.286935
3,26,1.281018
3,26,1.278409
4,26,1.688876
4,26,1.712512
4,26,1.696848
4,26,1.681931
4,26,1.699177
5,26,2.112573
5,26,2.100894
5,26,2.111712
5,26,2.098332
5,26,2.092232
6,26,2.489732
6,26,2.509716
6,26,2.499221
6,26,2.494381
6,26,2.500301
7,26,2.912803
7,26,2.902540
7,26,2.915803
7,26,2.904251
7,26,2.925557
8,26,3.791951
8,26,3.339099
8,26,3.321386
8,26,3.318438
8,26,3.312075
9,26,3.747024
9,26,3.728131
9,26,3.733315
9,26,3.712627
9,26,3.735266
10,26,4.153533
10,26,4.126519
10,26,4.670888
10,26,4.753679
10,26,4.163942
11,26,4.541588
11,26,4.637256
11,26,4.596818
11,26,4.533962
11,26,4.541078
12,26,4.945442
12,26,4.926455
12,26,4.921330
12,26,4.923379
12,26,4.926694
13,26,5.343509
13,26,5.369740
13,26,5.371859
13,26,5.348800
13,26,5.381078
14,26,6.863363
14,26,5.768433
14,26,5.754827
14,26,5.764329
14,26,5.759662
15,26,6.179780
15,26,6.146892
15,26,6.136454
15,26,6.137063
15,26,6.128239
16,26,6.527982
16,26,6.528719
16,26,6.520007
16,26,6.526425
16,26,6.526191
17,26,6.912946
17,26,6.958073
17,26,6.948996
17,26,6.935325
17,26,6.937046
18,26,7.348428
18,26,7.345594
18,26,7.348928
18,26,7.353834
18,26,7.357943
19,26,7.743359
19,26,7.737575
19,26,7.732074
19,26,7.728854
19,26,7.747794
20,26,8.141755
20,26,8.147946
20,26,8.232374
20,26,8.147951
20,26,8.147683
25,26,10.173267
25,26,10.224207
25,26,10.229652
25,26,10.167756
25,26,10.169526
30,26,12.166578
30,26,12.198542
30,26,12.218634
30,26,12.187659
30,26,12.225938
35,26,14.207163
35,26,14.203653
35,26,14.204121
35,26,14.205221
35,26,14.196604
40,26,16.247131
40,26,16.212768
40,26,16.263655
40,26,16.272275
40,26,16.348178
45,26,18.258632
45,26,18.244011
45,26,18.251278
45,26,18.258043
45,26,18.489710
50,26,20.252357
50,26,20.179960
50,26,20.219287
50,26,20.287818
50,26,20.298942
100,26,40.360415
100,26,40.306268
100,26,40.376586
100,26,40.302244
100,26,40.335711
150,26,60.477793
150,26,60.636597
150,26,60.531383
150,26,60.468358
150,26,60.588431
200,26,80.435915
200,26,80.444128
200,26,80.503555
200,26,80.510146
200,26,80.626549
400,26,161.194519
400,26,161.001540
400,26,160.832234
400,26,160.839281
400,26,160.995348
600,26,241.585689
600,26,241.350447
600,26,241.548513
600,26,241.978713
600,26,241.310118
800,26,321.882928
800,26,321.339795
800,26,321.029502
800,26,321.257901
800,26,320.991782
1000,26,401.566244
1000,26,401.976720
1000,26,403.235157
1000,26,403.090106
1000,26,402.611464
1200,26,482.580275
1200,26,482.891255
1200,26,482.183227
1200,26,481.423082
1200,26,480.648867
1400,26,561.388564
1400,26,561.306502
1400,26,561.207891
1400,26,560.749083
1400,26,560.939028
1600,26,641.414707
1600,26,641.362449
1600,26,641.687416
1600,26,642.017064
1600,26,641.816610
1800,26,721.231482
1800,26,721.972520
1800,26,723.082966
1800,26,722.062650
1800,26,721.861606
2000,26,801.724564
2000,26,801.821181
2000,26,802.089158
2000,26,801.137948
2000,26,803.102746
2200,26,882.434250
2200,26,882.536857
2200,26,882.254725
2200,26,883.934237
10,26,0.922754
10,26,0.990531
10,26,0.278154
10,26,0.241083
10,26,0.258397
10,26,0.313798
10,26,0.319681
10,26,0.255315
10,26,0.252576
10,26,0.235600
10,26,0.251371
10,26,0.272142
10,26,0.288032
10,26,0.265872
10,26,0.252407
10,26,0.240785
10,26,0.254825
10,26,0.250793
10,26,0.256443
10,26,0.236305
10,26,0.254857
20,26,25.769822
20,26,23.899724
20,26,24.549644
20,26,23.895240
20,26,23.566806
20,26,25.661725
30,26,183.051765
30,26,152.186478
10,26,49.659097
1000,26,80.365585
10,10,7.522196
10,10,6.844671
10,10,7.240245
10,10,7.102422
10,10,6.884547
10,10,6.813525
50,10,39.296067
100,10,64.384805
150,10,146.127680
50,10,39.207303
50,10,32.615428
50,10,29.080343
50,10,29.841000
100,10,64.102521
50,10,29.374407
50,10,30.156296
100,10,73.326546
50,10,33.328482
50,10,30.075138
100,10,68.793687
100,10,61.874982
150,10,101.948928
50,10,29.638936
50,10,37.460553
50,10,33.677171
50,10,30.028157
10,10,5.307165
10,10,5.942588
50,10,24.176666
50,10,26.007263
50,10,25.215154
50,10,24.669653
50,10,26.416464
50,10,28.587730
50,10,32.142272
100,10,75.307272
100,10,87.824553
150,10,107.153497
50,10,29.702593
100,10,66.413648
50,10,32.770427
50,2,6.350539
50,2,6.345020
50,2,7.716522
50,26,53.973258
50,26,48.421403
50,26,113.139177
50,26,68.029093
50,2,6.027435
50,2,8.954608
50,2,7.472981
50,2,7.506380
50,2,6.791054
100,2,15.627746
150,2,33.147967
200,2,43.627529
50,2,7.641402
100,2,12.878444
150,2,23.444244
50,2,6.686140
100,2,14.689642
150,2,22.713528
200,2,34.511868
50,2,8.525396
100,2,14.921445
150,2,21.422418
200,2,34.342050
500,1,39.523114
500,5,183.363095
500,10,335.339807
500,15,418.138384
500,20,502.648686
